,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
233,Chui,3,UY,1580003290,80,-33.7,-53.46,65.59,5.46
243,Santa Vitoria do Palmar,3,BR,1580003291,80,-33.52,-53.37,65.59,5.46
244,Pontal do Parana,20,BR,1580003292,93,-25.65,-48.51,75.99,4.7
253,Rocha,0,UY,1580003186,78,-34.48,-54.33,60.19,4.52
254,Puerto Baquerizo Moreno,32,EC,1580003293,85,-0.9,-89.6,77.0,13.49
259,Constitucion,0,CL,1580003293,67,-35.33,-72.42,63.21,5.7
263,Kaitangata,5,NZ,1580003070,65,-46.28,169.85,66.99,10.45
269,Rio Grande,83,BR,1580003295,91,-32.03,-52.1,71.01,7.47
280,Howard Springs,20,AU,1580003296,62,-12.5,131.05,95.0,12.75
282,Mudgee,75,AU,1580003296,51,-32.59,149.59,88.0,8.05
286,Saint-Pierre,90,RE,1580003297,78,-21.34,55.48,73.4,9.17
291,Sechura,100,PE,1580003298,86,-5.56,-80.82,74.41,9.78
292,Lodja,100,CD,1580003298,69,-3.48,23.43,70.84,2.33
295,Anori,100,BR,1580003298,99,-3.77,-61.64,73.42,2.19
302,Port Macquarie,32,AU,1580003299,52,-31.43,152.92,98.01,9.17
312,Aripuana,100,BR,1580003300,97,-9.17,-60.63,74.91,0.51
314,Isangel,75,VU,1580003300,78,-19.55,169.27,80.6,6.93
315,Dutlwe,48,BW,1580003301,66,-23.98,23.9,71.6,9.69
322,Jeremoabo,63,BR,1580003302,95,-10.07,-38.48,72.41,6.13
329,Zastron,2,ZA,1580003303,75,-30.3,27.08,62.98,20.07
331,Catumbela,100,AO,1580003303,77,-12.43,13.55,77.45,3.18
334,Swan Hill,0,AU,1580003087,36,-35.34,143.55,89.01,8.99
345,Souillac,40,MU,1580003305,78,-20.52,57.52,77.0,14.99
346,Santa Cruz de la Sierra,2,BO,1580003010,69,-17.8,-63.17,80.6,5.82
347,Mount Isa,90,AU,1580003305,100,-20.73,139.5,77.0,8.05
350,Saint-Joseph,90,RE,1580003306,78,-21.37,55.62,73.4,9.17
351,Dalby,90,AU,1580003306,61,-27.18,151.27,91.0,11.41
359,Otane,0,NZ,1580003307,46,-39.88,176.63,89.01,11.01
360,Lufilufi,57,WS,1580003307,83,-13.87,-171.6,82.0,3.0
371,Vao,91,NC,1580003056,79,-22.67,167.48,77.95,15.61
374,Nioki,40,CD,1580003309,58,-2.72,17.68,70.54,2.13
390,Namatanai,67,PG,1580003311,71,-3.67,152.43,85.87,12.68
392,Paratinga,100,BR,1580003018,83,-12.69,-43.18,80.6,2.24
394,Geraldton,15,AU,1580003311,69,-28.77,114.6,77.0,12.75
395,Puerto Narino,40,CO,1580003311,100,-3.77,-70.38,80.6,2.66
398,Ndende,100,GA,1580003312,95,-2.4,11.36,74.19,2.51
400,Tres Arroyos,1,AR,1580003312,68,-38.37,-60.28,55.63,5.06
403,Kaeo,5,NZ,1580003313,57,-35.1,173.78,84.0,8.99
404,Gweta,49,BW,1580003313,63,-20.18,25.23,72.23,5.08
410,Soure,100,BR,1580003313,94,-0.72,-48.52,77.65,4.72
412,Valparaiso,20,CL,1580003314,88,-33.04,-71.63,62.6,5.82
413,Lakes Entrance,63,AU,1580003314,49,-37.88,147.98,89.01,3.0
414,Maputo,20,MZ,1580003042,78,-25.97,32.59,75.2,9.17
417,Kirakira,3,SB,1580003314,77,-10.45,161.92,84.58,7.16
418,Sao Joao da Barra,100,BR,1580003315,90,-21.64,-41.05,73.27,5.39
423,Guarapari,75,BR,1580003315,94,-20.67,-40.5,71.6,4.7
437,Macusani,29,PE,1580003317,98,-14.08,-70.43,32.0,0.31
439,Richards Bay,1,ZA,1580003317,81,-28.78,32.04,77.38,26.22
447,Katherine,84,AU,1580003319,55,-14.47,132.27,89.6,9.17
451,Nabire,52,ID,1580003234,61,-3.37,135.48,88.45,5.93
453,Khorixas,43,NA,1580003319,34,-20.37,14.97,71.85,1.14
457,Caravelas,100,BR,1580003320,84,-17.71,-39.25,79.09,19.69
459,Owando,100,CG,1580003320,36,-0.48,15.9,67.93,1.48
467,Ambo,100,PE,1580003321,88,-10.13,-76.2,46.45,0.87
